Series ID,Year,Period,Label,Value
LAUCN120030000000003,2012,M11,2012 Nov,7.7
LAUCN120030000000003,2012,M12,2012 Dec,7.8
LAUCN120030000000003,2013,M01,2013 Jan,8.4
LAUCN120030000000003,2013,M02,2013 Feb,8
LAUCN120030000000003,2013,M03,2013 Mar,7.5
LAUCN120030000000003,2013,M04,2013 Apr,7.3
LAUCN120030000000003,2013,M05,2013 May,7.4
LAUCN120030000000003,2013,M06,2013 Jun,7.9
LAUCN120030000000003,2013,M07,2013 Jul,7.7
LAUCN120030000000003,2013,M08,2013 Aug,7.3
LAUCN120030000000003,2013,M09,2013 Sep,7
LAUCN120030000000003,2013,M10,2013 Oct,6.9
LAUCN120030000000003,2013,M11,2013 Nov,6.7
LAUCN120030000000003,2013,M12,2013 Dec,6.5
LAUCN120030000000003,2014,M01,2014 Jan,7
LAUCN120030000000003,2014,M02,2014 Feb,6.7
LAUCN120030000000003,2014,M03,2014 Mar,6.6
LAUCN120030000000003,2014,M04,2014 Apr,6.1
LAUCN120030000000003,2014,M05,2014 May,6.3
LAUCN120030000000003,2014,M06,2014 Jun,6.6
LAUCN120030000000003,2014,M07,2014 Jul,6.8
LAUCN120030000000003,2014,M08,2014 Aug,6.8
LAUCN120030000000003,2014,M09,2014 Sep,6.2
LAUCN120030000000003,2014,M10,2014 Oct,6
LAUCN120030000000003,2014,M11,2014 Nov,6.1
LAUCN120030000000003,2014,M12,2014 Dec,5.7
LAUCN120030000000003,2015,M01,2015 Jan,6.4
LAUCN120030000000003,2015,M02,2015 Feb,5.8
LAUCN120030000000003,2015,M03,2015 Mar,5.5
LAUCN120030000000003,2015,M04,2015 Apr,5.4
LAUCN120030000000003,2015,M05,2015 May,5.8
LAUCN120030000000003,2015,M06,2015 Jun,6.1
LAUCN120030000000003,2015,M07,2015 Jul,6
LAUCN120030000000003,2015,M08,2015 Aug,5.6
LAUCN120030000000003,2015,M09,2015 Sep,5.3
LAUCN120030000000003,2015,M10,2015 Oct,5
LAUCN120030000000003,2015,M11,2015 Nov,5.1
LAUCN120030000000003,2015,M12,2015 Dec,4.9
LAUCN120030000000003,2016,M01,2016 Jan,5.2
LAUCN120030000000003,2016,M02,2016 Feb,4.8
LAUCN120030000000003,2016,M03,2016 Mar,4.8
LAUCN120030000000003,2016,M04,2016 Apr,4.5
LAUCN120030000000003,2016,M05,2016 May,4.6
LAUCN120030000000003,2016,M06,2016 Jun,5.3
LAUCN120030000000003,2016,M07,2016 Jul,5.2
LAUCN120030000000003,2016,M08,2016 Aug,5.1
LAUCN120030000000003,2016,M09,2016 Sep,5
LAUCN120030000000003,2016,M10,2016 Oct,4.7
LAUCN120030000000003,2016,M11,2016 Nov,4.6
LAUCN120030000000003,2016,M12,2016 Dec,4.6
LAUCN120030000000003,2017,M01,2017 Jan,5
LAUCN120030000000003,2017,M02,2017 Feb,4.6
LAUCN120030000000003,2017,M03,2017 Mar,4.3
LAUCN120030000000003,2017,M04,2017 Apr,4
LAUCN120030000000003,2017,M05,2017 May,4
LAUCN120030000000003,2017,M06,2017 Jun,4.5
LAUCN120030000000003,2017,M07,2017 Jul,4.4
LAUCN120030000000003,2017,M08,2017 Aug,4.3
LAUCN120030000000003,2017,M09,2017 Sep,3.9
LAUCN120030000000003,2017,M10,2017 Oct,3.8
LAUCN120030000000003,2017,M11,2017 Nov,4
LAUCN120030000000003,2017,M12,2017 Dec,3.7
LAUCN120030000000003,2018,M01,2018 Jan,4.3
LAUCN120030000000003,2018,M02,2018 Feb,3.8
LAUCN120030000000003,2018,M03,2018 Mar,3.5
LAUCN120030000000003,2018,M04,2018 Apr,3.2
LAUCN120030000000003,2018,M05,2018 May,3.1
LAUCN120030000000003,2018,M06,2018 Jun,3.8
LAUCN120030000000003,2018,M07,2018 Jul,3.7
LAUCN120030000000003,2018,M08,2018 Aug,3.4
LAUCN120030000000003,2018,M09,2018 Sep,3.1
LAUCN120030000000003,2018,M10,2018 Oct,3.3
LAUCN120030000000003,2018,M11,2018 Nov,3.2
LAUCN120030000000003,2018,M12,2018 Dec,3.3
LAUCN120050000000003,2000,M01,2000 Jan,6.2
LAUCN120050000000003,2000,M02,2000 Feb,5.2
LAUCN120050000000003,2000,M03,2000 Mar,4.5
LAUCN120050000000003,2000,M04,2000 Apr,3.9
LAUCN120050000000003,2000,M05,2000 May,4.1
LAUCN120050000000003,2000,M06,2000 Jun,4.4
LAUCN120050000000003,2000,M07,2000 Jul,4.4
LAUCN120050000000003,2000,M08,2000 Aug,4.4
LAUCN120050000000003,2000,M09,2000 Sep,4.1
LAUCN120050000000003,2000,M10,2000 Oct,4.3
LAUCN120050000000003,2000,M11,2000 Nov,5.2
LAUCN120050000000003,2000,M12,2000 Dec,5.3
LAUCN120050000000003,2001,M01,2001 Jan,6.3
LAUCN120050000000003,2001,M02,2001 Feb,5.2
LAUCN120050000000003,2001,M03,2001 Mar,4.7
LAUCN120050000000003,2001,M04,2001 Apr,4.5
LAUCN120050000000003,2001,M05,2001 May,4.2
LAUCN120050000000003,2001,M06,2001 Jun,4.5
